brand,platform,model,timestamp,engagement,likes,comments,shares,reactions,url,caption,text,hashtags,thumbnail,classification_reason,classification_confidence
Tesla,instagram,general_automotive,2025-10-09T14:11:54+00:00,43,43,0,0,0,https://www.instagram.com/p/DPl2Sl6k03x/,Guarantee your vehicle collection by 2025 to maximise your EEA and VES rebates. Enjoy limited time financing rates (starting at 1.60% with 40% down payment or 2.58% with 1% down payment) - valid till 31 October 2025.,,,https://scontent-lga3-3.cdninstagram.com/v/t51.2885-15/562872122_18019353239784786_6906517399893349728_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QFenh4oBCCCRhy0tfDxc99BbAMhyyZoPXY65h403QBj9cmYO0uLjwX02BXe_bJBX3M&_nc_ohc=rrEkY_7-jngQ7kNvwG4vGZI&_nc_gid=x3OfSPdn0_CSj9HU1Q4jVQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffTm5JPpJGKKXDwb-rKyLb5m5rTYR-zzR6-wCXBcrShrg&oe=68EE80C5&_nc_sid=10d13b,"The text is automotive-related but does not mention any specific Tesla model, including the target model 'Model Y'. The image supports the automotive context but does not specify the model.",85
Tesla,instagram,general_automotive,2025-09-29T10:28:54+00:00,48,47,1,0,0,https://www.instagram.com/p/DPLs0eTE7k3/,"Celebrate Mid-Autumn Festival with Tesla at the Toa Payoh Experience Centre. Enjoy mooncakes and activities lined up in celebration of the event:

6.30pm - Registration
7pm - Quiz and games
7.30pm - Enjoy mooncakes
8pm - Lantern walk
8.30pm - Lightshow

Register through link in bio.",,,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-15/555446548_18017946800784786_4029856254957754647_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QFt3V9r2C-JDukkwz5Mb8er8Tgz407nXxYjgBZH1eU8blmGkLNOkZj5aHtIVO9jOl8&_nc_ohc=1Ct3w8-mX2MQ7kNvwFhgFIc&_nc_gid=J-IE5ekU4uCYWo74wGosrQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffY9-tUtoBwRaZqE1Gf9sRCdyzAL0wnQDZGZZ3GKYJz9w&oe=68EE8DD6&_nc_sid=10d13b,"The text is automotive-related as it mentions Tesla and an event at the Tesla Experience Centre, but it does not specify any particular vehicle model, including the target model 'Model Y'. The image supports the automotive context but does not provide specific model information.",85
Tesla,instagram,non_automotive,2025-10-06T10:10:01+00:00,46,46,0,0,0,https://www.instagram.com/p/DPdsOXWE_iP/,Happy Mid-Autumn Festival 🌕,,,https://scontent-lga3-3.cdninstagram.com/v/t51.2885-15/560611242_18018996707784786_4561181377171429686_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QG0HsbAWvFn862u9PRo7fChg2if4EJT3qMPLct6ALEFuie-76ibBjHPeg_89hqX4Ko&_nc_ohc=gNwZyNz8f0oQ7kNvwGFeHQe&_nc_gid=3Ryyt2zlWt5vGEiLjg2H_w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfdYZn2PpLTZ7M0Mw9NRUTiD6c4vWcfA4MoIHv6848SYLA&oe=68EEB1A3&_nc_sid=10d13b,The text 'Happy Mid-Autumn Festival 🌕' is not automotive-related and does not mention any vehicle models.,95
Tesla,instagram,general_automotive,2025-09-29T14:42:36+00:00,30,30,0,0,0,https://www.instagram.com/p/DPMJ2uXk9X1/,"Catch Tesla at AlCON, learn more about the future of mobility and join talks to discover more about Tesla.

3 to 4 October, 11am to 9pm 
BeyondX, 21 Keppel Road

Tesla sharing - The Future of Mobility
3 October 2025, 12pm to 12.15pm",,,https://scontent-ord5-3.cdninstagram.com/v/t51.2885-15/555501080_18017990429784786_8609925660770665481_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QGmhBh8ZCj7iLrIKpyyJUl_BY_LRPfBQc2nHXrsQXQiBFmqwUcFkIvAB5gpKmwXems&_nc_ohc=pwV5qOlH3IAQ7kNvwEDK420&_nc_gid=-9JotJLZaDEZdQimfvivHg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfeGkC_bxPr6XRlEjsPBg8bFXM3AexNpPRf2CUB9QOHdNw&oe=68EE8C4C&_nc_sid=10d13b,"The text is related to Tesla and discusses an event about the future of mobility, which is automotive-related. However, it does not mention any specific Tesla model, including the target model 'Model Y'. Therefore, it is classified as 'general_automotive'.",85
Tesla,instagram,general_automotive,2025-09-28T12:47:36+00:00,73,73,0,0,0,https://www.instagram.com/p/DPJX5gQEwTW/,"Three months to act. EEAI and VES rebates slash to $30,000 after December 31, 2025. 

Visit us in Tesla at Toa Payoh, Millenia Walk, and Westgate to learn more.

📷 @lukasfronk",,,https://scontent-lga3-3.cdninstagram.com/v/t51.2885-15/556101552_18017774786784786_3867412776216763642_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QF7SUH-6ehHJtMECQH12BclomC6bPrv261q-0lazYM_hcNTwZZdvIEC-hhcs8ihRhg&_nc_ohc=_GEEQtatUkwQ7kNvwH-IOit&_nc_gid=5t9vLt3WFmAR3H_VhgM2xg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfcrFWdcuoZZrXZR5yOLGW4jjFB4IDfXmwfaI0tgf1ci-g&oe=68EEB119&_nc_sid=10d13b,"The text is automotive-related, discussing rebates for Tesla vehicles, but does not mention any specific model, including the target model 'Model Y'. The image supports the automotive context but does not specify a model.",85
Tesla,instagram,non_automotive,2025-10-07T11:00:00+00:00,47,47,0,0,0,https://www.instagram.com/p/DPgWvWqEw7G/,Tesla Optimus learning Kung Fu,,,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/560440487_18018998354784786_3795529794120145394_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QGByrWmF-SGSdZigGMPWVWF8MxCE0OV-Lzw5u5P0y9l8FpAYqnA-QfjjWC2YAOnRpo&_nc_ohc=cqcpnf89b1UQ7kNvwHe7486&_nc_gid=z4Jgf6AY9VJm10yTHTQGRg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfdUXB_bkRD6sMzceJatdcTX0o5tyXZGVXypkSYnKqwtug&oe=68EE9C7E&_nc_sid=10d13b,"The text mentions 'Tesla Optimus learning Kung Fu,' which refers to a robot, not a vehicle model. The image supports this as it shows a humanoid robot, not a car.",95
Tesla,instagram,Model Y,2025-10-01T12:59:18+00:00,91,91,0,0,0,https://www.instagram.com/p/DPRHn4ak1lp/,"Meet Tesla at Northpoint City, Level 1 south atrium from now till 5 October. Catch our daily light shows, learn more about EVs and discover the future of mobility.",,,https://scontent-bos5-1.cdninstagram.com/v/t51.2885-15/557723655_18018310931784786_5826251710528208382_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QHDz0-mu_jBi3xMAbiVITNCQ3u_FqTKl2dpONRQwUa6dEyEvBsJCXpq1fS3S3aE5UU&_nc_ohc=76GW3q4uZVIQ7kNvwH78tmX&_nc_gid=ApEoEf1Pt0OnyyTSKYgEcQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfecXp3h4hS2vdQeZSv9SjsOn4zMYlC7Sf-y6Jbov_H3Ng&oe=68EE9D0F&_nc_sid=10d13b,"The text does not mention any specific Tesla model, but the image clearly shows a Tesla Model Y, which is one of the target models.",95
Tesla,instagram,general_automotive,2025-10-06T16:06:01+00:00,257,256,1,0,0,https://www.instagram.com/p/DPeU9tEk9Ue/,"Tesla customers celebrated the Mid-Autumn Festival at the Tesla Experience Centre in Toa Payoh, enjoying mooncakes, a lantern walk, and more. Follow us for updates on our exciting upcoming events!",,,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/559792215_18019040744784786_3478697703049716737_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QHUwQY33gwVRGIoK5hDobyCUMW6Ebh1tY7U6RZBZ2vlvGVkOFZPiFt7kIvu2zQLawo&_nc_ohc=sxAr41dbm2kQ7kNvwEUplv3&_nc_gid=pOWki6uuWsHWXTGQBlD_pg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffYPyf5G_koHgS-XT1qiMtFq5Qq4dbzo1HzruHo65ZhSg&oe=68EE9926&_nc_sid=10d13b,"The text is related to Tesla and mentions an event at the Tesla Experience Centre, but it does not specify any vehicle model, including the target model 'Model Y'. The image supports the automotive context by showing a Tesla sign.",90
Tesla,instagram,general_automotive,2025-09-07T11:55:04+00:00,62,62,0,0,0,https://www.instagram.com/p/DOTNMbEk6uz/,"Tesla vehicles improve over time through over-the-air (OTA) updates, allowing owners to enjoy the latest features for free over the vehicle’s lifetime. Given the connected nature of our products, visiting Tesla service centers provides peace of mind, as any issues can be proactively identified and addressed via an OTA update.

Discover more at the Tesla Experience Centre or call us at 800 4922289 to find out more.",,,https://instagram.ftpa1-2.fna.fbcdn.net/v/t51.2885-15/544317624_18014827079784786_4107627276891277063_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.ftpa1-2.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QEmnKwVUokAyu0hp9pignhn4sXutpHVq81vBp82iZKbsgzbYRjz3xYLR2Ovx_H2ABaR4Ti9PEU8G9FFgTN-Vyuj&_nc_ohc=_enOIZ1gKl8Q7kNvwFiqv-Z&_nc_gid=t8LqoFVZCJCb7Ji6szb_cw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afcryzrip0A8jlyzPtsWDrDKg1QVXyIT2GYI8pu3JoyHeg&oe=68EEB091&_nc_sid=10d13b,"The text discusses Tesla vehicles in general, focusing on over-the-air updates and service centers without mentioning any specific model, including the target model 'Model Y'. Therefore, it fits the 'general_automotive' category.",90
Tesla,instagram,Model 3,2025-10-03T02:27:27+00:00,204,201,3,0,0,https://www.instagram.com/p/DPVI5ylk8Si/,"Introducing the Model 3 Long Range Rear-Wheel Drive.
Now with up to 750 km range (WLTP), the ability to recover 311 km in just 15 minutes, and a swift 0–100 km/h in 5.2 seconds.

Model 3 now comes with new hardwares, featuring a new driving stalk, a matte black Tesla badge and a front camera, designed for your road journeys across Singapore and Malaysia.

Visit Us & Order Yours Today.
📍 Toa Payoh | Millenia Walk | Westgate
800 492289",,,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-15/559571198_18018615266784786_7593847913559081613_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QHEn_-gnKLIcWZY2ZRBAL_wQbFpKRwrTNgTk3A-EG-_VyMKPsuu9NXKH8KYynVH2rc&_nc_ohc=cHcsCwnm0OoQ7kNvwFvWXTu&_nc_gid=IIXWPiNmmR21Nc1Y46Geew&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfdILouR2wmQR5TgWN6Iq5NukUSk4H-wKoI6ERQ72Z_rjg&oe=68EE7AE9&_nc_sid=10d13b,"The text and image both mention 'Model 3 Long Range Rear-Wheel Drive', which is not the target model 'Model Y'. Therefore, it should be classified as 'Model 3'.",95
